FAB_MAS_PAL_NUM_PO	FAB_MAS_PAL_DATE_DEBUT	FAB_MAS_PAL_DATE_FIN	FAB_MAS_PAL_NUM_MATERIAL	FAB_MAS_PAL_LIB_MATERIAL	FAB_MAS_PAL_NUM_LIGNE	FAB_MAS_PAL_REC_PRO_LIB	FAB_MAS_PAL_MAS_LIB_COURT	FAB_MAS_PAL_QTE_PLATEAU	FAB_MAS_PAL_TONNAGE_MASSE	FAB_MAS_PAL_TONNAGE_GLOBAL_SANS_FRUIT	FAB_MAS_PAL_TONNAGE_GLOBAL_AVEC_FRUIT
111 239 725	31/03/2023 01:34:17	31/03/2023 06:04:17	74 629	DANIO MANGUE KIWI BANAN 450X1 NL	34	DANIO	BDA	6 000	6,642	13,284	16,2
111 240 244	31/03/2023 08:39:17	31/03/2023 12:19:17	1 356	DANIO FRAISE 450X1 NL	34	DANIO	BDA	4 800	5,314	10,627	12,96
111 240 247	31/03/2023 12:20:17	31/03/2023 17:28:18	182 437	DANIO COOKIE DOO 450X1 NL	34	DANIO	BDA	7 920	8,767	17,535	21,384
111 241 415	04/04/2023 12:18:21	04/04/2023 14:12:22	174 301	DANIO POM POIR BAN 150X1 BE SF	34	DANIO	BDA	1 920	0,778	1,555	1,728
111 241 680	04/04/2023 21:08:22	04/04/2023 23:14:22	28 939	DANIO PECHE 180X1 BE	34	DANIO	BDA	3 840	1,7	3,401	4,147
111 241 683	04/04/2023 16:04:21	04/04/2023 21:05:22	28 927	DANIO VANILLE 180X1 BE	34	DANIO	BDA	6 816	3,018	6,036	7,361
111 241 684	04/04/2023 05:07:21	04/04/2023 10:46:21	186 394	DANIO COOKIE CHO CHIP 150X1 BE SF	34	DANIO	BDA	1 968	0,886	1,771	1,771
111 241 685	04/04/2023 10:47:21	04/04/2023 12:17:21	174 306	DANIO SPECULOOS 150X1 BE SF	34	DANIO	BDA	1 584	0,713	1,426	1,426
111 241 687	04/04/2023 14:13:22	04/04/2023 16:00:21	174 300	DANIO FRTS ROUGES 150X1 BE SF	34	DANIO	BDA	1 920	0,76	1,521	1,728
111 241 699	05/04/2023 01:36:22	05/04/2023 04:28:22	171 945	DANIO BANANE 180X1 BE	34	DANIO	BDA	3 840	1,7	3,401	4,147
111 241 702	04/04/2023 23:16:22	05/04/2023 01:34:22	28 931	DANIO STRACCIATELLA 180X1 BE	34	DANIO	BDA	3 360	1,488	2,976	3,629
111 241 725	05/04/2023 04:30:22	05/04/2023 06:57:22	85 690	DANIO NECTARINE FRAMBOI 180X1 BE	34	DANIO	BDA	2 880	1,275	2,551	3,11
111 241 736	05/04/2023 08:49:22	05/04/2023 12:17:09	28 928	DANIO FRAISE 180X1 BE	34	DANIO	BDA	3 840	1,7	3,401	4,147
111 241 737	05/04/2023 06:58:22	05/04/2023 08:48:22	28 930	DANIO FRUITS EXOTIQUES 180X1 BE	34	DANIO	BDA	2 400	1,063	2,125	2,592
111 241 738	05/04/2023 12:19:09	05/04/2023 14:52:09	28 929	DANIO CERISE 180X1 BE	34	DANIO	BDA	5 184	2,295	4,591	5,599
111 241 750	05/04/2023 21:11:10	06/04/2023 01:39:10	3 567	DANIO MYRTILLE 450X1 NL	34	DANIO	BDA	7 200	7,97	15,941	19,44
111 241 864	06/04/2023 01:41:10	06/04/2023 06:20:10	153 449	DANIO CERISE 450X1 NL	34	DANIO	BDA	7 656	8,475	16,95	20,671
111 242 393	05/04/2023 12:49:09	06/04/2023 13:52:10	170 054	ACTIVIA BI PRUNE 120X4 DD UK	60	FUS	FUS	14 506	33,422	33,422	41,777
111 242 394	06/04/2023 13:53:10	06/04/2023 20:56:10	170 053	ACTIVIA BI MYR ACAI 120X4 DD UK	60	FUS	FUS	5 248	12,091	12,091	15,114
