OF	PO	POfrom	POto	TypeProduit	QteSoutirageSB_OFPOSB_Kg	QteRemplissageMB_SPLPBMB_TotalL	QteRemplissageMB_SPLPBMB_TotalKg	QteRemplissageMB_SPLPBMB_Kg	QtePOPaletiseKg
OF750	111241758	03/04/2023 23:25:20	05/04/2023 06:29:22	FFA	10 926,782	21 197,956	22 427,437	22 427,437	55 682,668
OF750	111241414	03/04/2023 21:47:20	04/04/2023 06:43:21	FFA	3 874,5	21 197,956	22 427,437	22 427,437	3 521,76
OF750	111241514	04/04/2023 06:44:21	05/04/2023 06:12:22	FFA	7 472,5	21 197,956	22 427,437	22 427,437	65 616,46
OF758	111241758	03/04/2023 23:25:20	05/04/2023 06:29:22	FFA	10 584,473	22 040,938	23 319,313	23 319,313	55 682,668
OF758	111241514	04/04/2023 06:44:21	05/04/2023 06:12:22	FFA	12 864	22 040,938	23 319,313	23 319,313	65 616,46
OF767	111242393	05/04/2023 12:49:09	06/04/2023 13:52:10	FUS	23 178,518	22 272,78	23 230,51	23 230,51	33 421,824
OF774	111242998	06/04/2023 23:11:10	07/04/2023 10:28:11	FFA	10 338,176	22 105,594	23 387,718	23 387,718	29 335,046
OF774	111242675	06/04/2023 22:33:10	07/04/2023 03:13:10	FFA	12 711,109	22 105,594	23 387,718	23 387,718	13 052,16
OF780	111242998	06/04/2023 23:11:10	07/04/2023 10:28:11	FFA	8 428,867	15 120,195	15 997,167	15 997,167	29 335,046
OF780	111242677	07/04/2023 03:23:10	07/04/2023 09:11:11	FFA	8 116,531	15 120,195	15 997,167	15 997,167	20 005,92
OF790	111243640	07/04/2023 17:50:11	08/04/2023 08:25:12	AFO	237,375	22 962,696	24 018,98	24 018,98	48 029,714
OF790	111243538	07/04/2023 06:01:10	08/04/2023 10:29:12	AFO	335,5	22 962,696	24 018,98	24 018,98	76 432,598
OF792	111244168	08/04/2023 08:26:12	08/04/2023 23:13:12	FFA	11 641,188	22 265,843	23 557,262	23 557,262	36 762,317
OF792	111243527	08/04/2023 05:33:11	08/04/2023 10:27:12	FFA	141,859	22 265,843	23 557,262	23 557,262	17 028
OF792	111243529	08/04/2023 10:28:12	08/04/2023 12:44:12	FFA	5 333,375	22 265,843	23 557,262	23 557,262	5 068,8
